Band Number,Nominal Center Wavelength,Center Wavelength,Width (FWHM),Solar Irradiance,Rayleigh Optical Thickness,Depolarization Factor,k_oz (Ozone),k_no2 (NO2)
1,412,412.496,9.93,1713.605,3.16E-01,2.95E-02,2.47E-04,6.07E-19
2,442,442.497,9.945,1877.49,2.36E-01,2.91E-02,3.00E-03,4.91E-19
3,490,489.999,9.965,1929.288,1.55E-01,2.87E-02,2.05E-02,2.92E-19
4,510,510,9.971,1926.86,1.32E-01,2.86E-02,4.13E-02,2.22E-19
5,560,560,9.983,1800.492,9.01E-02,2.83E-02,1.06E-01,7.34E-20
6,620,620.001,9.991,1649.692,5.95E-02,2.80E-02,1.09E-01,2.82E-20
7,665,665.001,9.994,1530.916,4.48E-02,2.79E-02,5.01E-02,6.63E-21
8,681,681.251,7.493,1470.226,4.06E-02,2.79E-02,3.51E-02,6.28E-21
9,709,708.751,9.996,1405.462,3.46E-02,2.78E-02,1.89E-02,4.95E-21
10,754,753.75,7.493,1266.203,2.70E-02,2.77E-02,8.75E-03,1.38E-21
11,762,761.875,3.742,1249.795,2.58E-02,2.77E-02,6.80E-03,4.72E-22
12,779,778.752,15,1175.717,2.36E-02,2.77E-02,7.70E-03,3.69E-22
13,865,865.003,19.999,958.878,1.55E-02,2.76E-02,2.14E-03,2.88E-23
14,885,885,9.99,929.754,1.41E-02,2.76E-02,1.23E-03,4.55E-23
15,900,900.001,9.988,895.438,1.32E-02,2.75E-02,1.52E-03,5.51E-23
