Band Number,Nominal Center Wavelength,Center Wavelength,Width (FWHM),Solar Irradiance,Rayleigh Optical Thickness,Depolarization Factor,k_oz (Ozone),k_no2 (NO2)
1,412,412.123,14.481,1729.095,3.10E-01,2.95E-02,1.99E-03,5.81E-19
2,443,442.26,9.691,1876.217,2.37E-01,2.91E-02,3.19E-03,4.98E-19
3,469,466.122,18.894,2057.707,1.91E-01,2.89E-02,8.75E-03,3.96E-19
4,488,487.508,10.677,1949.317,1.59E-01,2.87E-02,2.03E-02,2.88E-19
5,531,530.22,12.039,1857.455,1.13E-01,2.84E-02,6.84E-02,1.53E-19
6,547,547.353,10.389,1865.42,9.91E-02,2.83E-02,8.62E-02,1.19E-19
7,555,554.026,19.753,1838.658,9.43E-02,2.83E-02,9.55E-02,9.44E-20
8,645,644.898,47.493,1578.7,5.08E-02,2.80E-02,7.38E-02,1.38E-20
9,667,665.97,10.048,1522.491,4.44E-02,2.79E-02,4.89E-02,7.07E-21
10,678,677.665,11.382,1480.511,4.15E-02,2.79E-02,3.79E-02,8.31E-21
11,748,746.938,9.83,1280.753,2.85E-02,2.77E-02,1.24E-02,2.16E-21
12,859,857.323,38.252,972.294,1.61E-02,2.76E-02,2.35E-03,6.19E-23
13,869,867.05,15.562,957.948,1.54E-02,2.76E-02,1.94E-03,7.89E-23
14,1240,1241.597,23.356,454.616,3.62E-03,2.73E-02,0.00E+00,0.00E+00
15,1640,1627.972,27.593,239.782,1.22E-03,2.73E-02,0.00E+00,0.00E+00
16,2130,2113.124,53.079,98.849,4.29E-04,2.72E-02,0.00E+00,0.00E+00
