Band Number,Nominal Center Wavelength,Center Wavelength,Width (FWHM),Solar Irradiance,Rayleigh Optical Thickness,Depolarization Factor,k_oz (Ozone),k_no2 (NO2)
1,412,411.589,14.652,1726.3,3.16E-01,2.95E-02,8.77E-04,5.92E-19
2,443,442.155,9.707,1874.836,2.37E-01,2.91E-02,3.12E-03,4.99E-19
3,469,466.122,18.894,2057.707,1.91E-01,2.89E-02,8.75E-03,3.96E-19
4,488,487.078,10.633,1951.16,1.60E-01,2.87E-02,2.02E-02,2.91E-19
5,531,529.783,11.973,1856.957,1.13E-01,2.84E-02,6.78E-02,1.55E-19
6,547,546.981,10.331,1864.784,9.94E-02,2.83E-02,8.58E-02,1.21E-19
7,555,554.026,19.753,1838.658,9.43E-02,2.83E-02,9.55E-02,9.44E-20
8,645,644.898,47.493,1578.7,5.08E-02,2.80E-02,7.38E-02,1.38E-20
9,667,665.695,10.117,1516.876,4.43E-02,2.79E-02,4.88E-02,6.97E-21
10,678,677.068,11.378,1474.671,4.14E-02,2.79E-02,3.80E-02,8.53E-21
11,748,746.736,9.952,1278.822,2.84E-02,2.77E-02,1.21E-02,2.11E-21
12,859,857.323,38.252,972.294,1.61E-02,2.76E-02,2.35E-03,6.19E-23
13,869,866.55,15.621,957.879,1.55E-02,2.76E-02,1.99E-03,1.23E-22
14,1240,1241.597,23.356,454.616,3.62E-03,2.73E-02,0.00E+00,0.00E+00
15,1640,1627.972,27.593,239.782,1.22E-03,2.73E-02,0.00E+00,0.00E+00
16,2130,2113.124,53.079,98.849,4.29E-04,2.72E-02,0.00E+00,0.00E+00
