Band Number,Nominal Center Wavelength,Center Wavelength,Width (FWHM),Solar Irradiance,Rayleigh Optical Thickness,Depolarization Factor,k_oz (Ozone),k_no2 (NO2)
1,443,442.555,19.694,1884.352,2.36E-01,2.91E-02,2.90E-03,5.05E-19
2,492,491.892,64.257,1960.255,1.56E-01,2.87E-02,2.62E-02,2.83E-19
3,560,560.174,34.798,1822.721,9.06E-02,2.83E-02,1.05E-01,8.71E-20
4,665,664.609,30.609,1512.865,4.50E-02,2.79E-02,5.07E-02,8.86E-21
5,704,704.281,13.983,1424.803,3.55E-02,2.78E-02,2.04E-02,3.79E-21
6,740,740.444,13.644,1286.868,2.90E-02,2.78E-02,1.10E-02,1.67E-21
7,783,782.997,19.017,1162.055,2.32E-02,2.77E-02,7.08E-03,5.09E-22
8,835,834.867,104.784,1041.863,1.85E-02,2.76E-02,3.59E-03,1.87E-22
9,865,864.721,20.476,956.082,1.55E-02,2.76E-02,2.18E-03,2.89E-23
10,945,945.128,19.453,812.911,1.08E-02,2.75E-02,7.48E-04,0.00E+00
11,1374,1373.505,29.09,367.108,2.41E-03,2.73E-02,0.00E+00,0.00E+00
12,1613,1613.484,89.666,245.58,1.27E-03,2.73E-02,0.00E+00,0.00E+00
13,2200,2199.668,173.57,85.247,3.68E-04,2.72E-02,0.00E+00,0.00E+00
