Band Number,Nominal Center Wavelength,Center Wavelength,Width (FWHM),Solar Irradiance,Rayleigh Optical Thickness,Depolarization Factor,k_oz (Ozone),k_no2 (NO2)
1,442,442.248,20.194,1873.382,2.37E-01,2.91E-02,2.84E-03,5.07E-19
2,492,491.654,64.916,1960.243,1.56E-01,2.87E-02,2.59E-02,2.84E-19
3,559,559.229,35.148,1824.101,9.12E-02,2.83E-02,1.04E-01,8.92E-20
4,665,664.789,30.358,1513.48,4.49E-02,2.79E-02,5.03E-02,8.66E-21
5,704,703.935,14.155,1425.932,3.56E-02,2.78E-02,2.06E-02,3.75E-21
6,739,739.097,13.62,1290.29,2.92E-02,2.78E-02,1.10E-02,1.49E-21
7,780,779.994,19.82,1175.56,2.35E-02,2.77E-02,7.32E-03,4.28E-22
8,835,834.84,104.955,1041.511,1.85E-02,2.76E-02,3.56E-03,1.88E-22
9,864,864.066,20.753,954.784,1.55E-02,2.76E-02,2.28E-03,3.05E-23
10,943,943.332,19.523,817.825,1.09E-02,2.75E-02,7.46E-04,9.18E-26
11,1377,1377.115,29.746,365.384,2.39E-03,2.73E-02,0.00E+00,0.00E+00
12,1611,1610.846,93.523,247.059,1.28E-03,2.73E-02,0.00E+00,0.00E+00
13,2184,2184.405,183.431,87.748,3.80E-04,2.72E-02,0.00E+00,0.00E+00
