Band Number,Nominal Center Wavelength,Center Wavelength,Width (FWHM),Solar Irradiance,Rayleigh Optical Thickness,Depolarization Factor,k_oz (Ozone),k_no2 (NO2)
1,400,399.939,14.011,1513.668,3.56E-01,2.97E-02,2.24E-06,6.19E-19
2,412,411.854,9.843,1707.999,3.19E-01,2.95E-02,2.25E-04,6.10E-19
3,443,442.957,9.943,1889.966,2.35E-01,2.91E-02,3.06E-03,4.96E-19
4,490,490.469,9.992,1936.264,1.55E-01,2.87E-02,2.07E-02,2.94E-19
5,510,510.445,9.957,1919.646,1.32E-01,2.86E-02,4.13E-02,2.17E-19
6,560,560.44,10.006,1796.853,8.98E-02,2.83E-02,1.07E-01,7.44E-20
7,620,620.393,9.939,1649.14,5.93E-02,2.80E-02,1.08E-01,2.78E-20
8,665,665.259,9.987,1530.151,4.47E-02,2.79E-02,4.98E-02,6.74E-21
9,674,674.022,7.526,1494.719,4.24E-02,2.79E-02,4.07E-02,1.01E-20
10,682,681.563,7.527,1468.862,4.05E-02,2.79E-02,3.49E-02,6.15E-21
11,709,709.112,10.013,1403.106,3.45E-02,2.78E-02,1.88E-02,4.95E-21
12,754,754.184,7.512,1266.321,2.69E-02,2.77E-02,8.56E-03,1.36E-21
13,762,761.726,2.637,1247.453,2.58E-02,2.77E-02,6.76E-03,4.51E-22
14,765,764.826,3.718,1238.998,2.54E-02,2.77E-02,6.90E-03,6.45E-22
15,768,767.917,2.61,1229.77,2.50E-02,2.77E-02,6.75E-03,4.92E-22
16,779,779.227,15.014,1173.502,2.36E-02,2.77E-02,7.67E-03,3.79E-22
17,866,865.549,19.956,959.704,1.54E-02,2.76E-02,2.09E-03,2.69E-23
18,884,884.336,9.977,930.852,1.42E-02,2.76E-02,1.20E-03,4.34E-23
19,899,899.346,9.964,895.778,1.32E-02,2.75E-02,1.53E-03,5.29E-23
20,939,939.306,19.859,826.421,1.11E-02,2.75E-02,7.00E-04,4.46E-24
21,1013,1012.932,27.038,699.707,8.11E-03,2.75E-02,8.56E-05,0.00E+00
