Band Number,Nominal Center Wavelength,Center Wavelength,Width (FWHM),Solar Irradiance,Rayleigh Optical Thickness,Depolarization Factor,k_oz (Ozone),k_no2 (NO2)
1,400,400.33,13.342,1534.781,3.55E-01,2.97E-02,2.12E-06,6.18E-19
2,412,411.944,9.87,1709.23,3.18E-01,2.95E-02,2.28E-04,6.09E-19
3,443,443.003,9.926,1890.35,2.35E-01,2.91E-02,3.06E-03,4.96E-19
4,490,490.384,9.982,1934.653,1.55E-01,2.87E-02,2.07E-02,2.93E-19
5,510,510.379,9.969,1920.841,1.32E-01,2.86E-02,4.13E-02,2.18E-19
6,560,560.357,9.996,1797.491,8.98E-02,2.83E-02,1.06E-01,7.43E-20
7,620,620.267,9.93,1649.287,5.94E-02,2.80E-02,1.08E-01,2.80E-20
8,665,665.117,9.977,1530.541,4.47E-02,2.79E-02,4.99E-02,6.69E-21
9,674,673.864,7.5,1495.39,4.24E-02,2.79E-02,4.08E-02,1.01E-20
10,681,681.382,7.52,1469.636,4.06E-02,2.79E-02,3.50E-02,6.23E-21
11,709,708.975,10.009,1403.971,3.46E-02,2.78E-02,1.88E-02,4.95E-21
12,754,754.029,7.514,1266.292,2.69E-02,2.77E-02,8.62E-03,1.37E-21
13,762,761.56,2.601,1247.629,2.59E-02,2.77E-02,6.74E-03,4.46E-22
14,765,764.692,3.756,1240.03,2.54E-02,2.77E-02,6.90E-03,6.41E-22
15,768,767.821,2.593,1229.471,2.50E-02,2.77E-02,6.75E-03,5.02E-22
16,779,779.083,15.003,1174.262,2.36E-02,2.77E-02,7.69E-03,3.75E-22
17,865,865.391,19.933,959.636,1.55E-02,2.76E-02,2.11E-03,2.74E-23
18,884,884.159,9.965,931.198,1.42E-02,2.76E-02,1.20E-03,4.29E-23
19,899,899.16,9.96,895.889,1.32E-02,2.75E-02,1.54E-03,5.23E-23
20,939,939.137,19.843,826.675,1.11E-02,2.75E-02,6.98E-04,4.70E-24
21,1013,1012.824,26.94,699.81,8.11E-03,2.75E-02,8.59E-05,0.00E+00
