Band Number, Nominal Center Wavelength (int), Center Wavelength, Width (FWHM), Solar Irradiance, Rayleigh Optical Thickness, Depolarization Factor, k_oz (Ozone), k_no2 (NO2)
, nm, nm, nm, W/m^2/um/sr,,,,
  1, 411,     411.051,      19.448,    1735.546,   3.205E-01,   2.952E-02,   2.293E-04,   6.041E-19
  2, 445,     444.895,      16.883,    1939.316,   2.307E-01,   2.909E-02,   3.226E-03,   4.916E-19
  3, 489,     488.363,      20.035,    1986.260,   1.578E-01,   2.870E-02,   2.097E-02,   2.924E-19
  4, 556,     555.333,      21.316,    1833.565,   9.338E-02,   2.830E-02,   9.796E-02,   9.326E-20
  5, 667,     671.366,      21.135,    1502.610,   4.307E-02,   2.789E-02,   4.371E-02,   7.851E-21
  6, 746,     747.317,      14.852,    1272.467,   2.791E-02,   2.773E-02,   1.058E-02,   1.698E-21
  7, 868,     868.311,      38.611,     950.463,   1.528E-02,   2.757E-02,   2.019E-03,   3.966E-23
  8,1238,    1241.354,      20.584,     454.743,   3.618E-03,   2.734E-02,   5.452E-14,   0.000E+00
  9,1604,    1613.073,      63.116,     245.565,   1.266E-03,   2.726E-02,   2.223E-14,   0.000E+00
 10,2258,    2251.741,      48.075,      78.092,   3.327E-04,   2.720E-02,   1.501E-13,   0.000E+00
